Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior;
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2021;14.531.264;9.555.271;2.764.779;0;0;0;0;562.428;0;0;236.989;1.396.062;0;10.840;0;0;0;0;0;4.895;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2021;14.185.561;12.167.076;181.465;261.904;422.994;0;0;40.925;1.111.197;0;0;0;0;0;0;0;0;0;0;0;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;09/2021;13.578.116;2.183.742;0;0;0;0;0;11.344.657;0;0;0;0;0;0;49.660;0;0;0;0;57;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2021;13.229.456;6.845.234;63.655;1.864.585;858.744;0;0;88.407;2.079.462;0;188.168;23.959;0;222.957;991.404;0;2.876;0;0;5;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.952.718;7.940.495;5.103;0;0;0;0;1.406.980;0;0;1.048;0;0;0;1.758.594;0;0;0;0;2.677;1.837.821
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.869.607;11.300.670;0;0;0;0;10.646;240.218;0;0;0;0;0;0;91.851;0;0;0;0;5.998;1.220.225
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.808.461;9.069.846;0;31.237;99.450;0;0;3.252.431;355.450;0;0;0;0;0;0;0;0;0;0;48;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;09/2021;12.192.384;12.190.990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.390;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2021;12.131.014;12.123.376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.638;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2021;11.988.188;11.563.351;0;49.424;0;0;0;0;375.413;0;0;0;0;0;0;0;0;0;0;0;0
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;09/2021;11.360.804;10.703.202;0;0;0;0;0;570.510;0;0;0;0;0;0;1.512;0;0;0;0;85.580;0
